(En millones de dólares),ACTIVO,Fondos Disponibles,Fondos Interbancarios Vendidos,Inversiones,Cartera de Crédito neta,Cartera Vigente,Cartera Vencida,Provisión para Crédito Incobrables,Deudores por aceptación,Cuentas por Cobrar,Bienes Adjudicados por Pago,Activo Fijo,Otros Activos,PASIVO,Obligaciones con el Publico,Operaciones Interbancarias,Obligaciones Inmediatas,Aceptaciones en Circulacion,Cuentas por Pagar,Obligaciones Financieras,Valores en Circulacion,Obligaciones Conv. en Acciones y Aportes,Otros Pasivos,PATRIMONIO,Capital Social,Primas o Dsctos Colocacion Acciones,Reservas,Otros Aportes Patrimoniales,Superavit por Valuaciones,Resultados,Utilidad o Pérdida Acumulado,Resultados del Ejercicio,TOTAL PASIVO + PATRIMONIO,CONTINGENTES NETOS,TOTAL ACTIVOS + CONTINGEN. NETOS,
Total Sistema hasta septiembre 2020,45370.0,8260.0,0.0,6969.0,26536.0,27547.0,1144.0,-2154.0,3.0,899.0,88.0,710.0,1904.0,40262.0,34644.0,0.0,202.0,3.0,1700.0,2869.0,150.0,449.0,245.0,5108.0,3530.0,2.0,976.0,2.0,227.0,370.0,196.0,174.0,45370.0,12416.0,57787.0,
Guayaquil hasta septiembre 2020,5311.0,936.0,0.0,848.0,3176.0,3256.0,113.0,-193.0,0.0,84.0,4.0,128.0,135.0,4789.0,4016.0,0.0,24.0,0.0,174.0,535.0,0.0,31.0,9.0,522.0,428.0,0.0,69.0,0.0,4.0,20.0,0.0,20.0,5311.0,1607.0,6917.0,
Variación Banco Guayaquil Monto hasta septiembre 2020,181.0,0.0,0.0,154.0,-3.0,-40.0,63.0,-25.0,0.0,7.0,0.0,-1.0,23.0,170.0,171.0,0.0,3.0,0.0,33.0,-29.0,0.0,0.0,-8.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,181.0,23.0,204.0,
Variación Banco Guayaquil % hasta septiembre 2020,3.5,0.0,0.0,22.2,-0.1,-1.2,127.1,14.9,0.0,9.0,2.6,-0.6,21.0,3.7,4.5,0.0,12.0,0.0,23.1,-5.1,0.0,0.1,-46.0,2.1,0.0,0.0,0.0,0.0,-3.0,128.1,0.0,128.1,3.5,1.4,3.0,
Variación Total Sistema Monto hasta septiembre 2020,1119.0,574.0,0.0,690.0,-277.0,-522.0,324.0,-79.0,-7.0,1.0,11.0,11.0,116.0,1056.0,1118.0,0.0,39.0,-7.0,109.0,-177.0,0.0,8.0,-33.0,63.0,2.0,0.0,-2.0,0.0,29.0,34.0,1.0,33.0,1119.0,-304.0,815.0,
"Variación Total Sistema %
 hasta septiembre 2020",2.5,7.5,0.0,11.0,-1.0,-1.9,39.5,3.8,-72.8,0.2,14.3,1.5,6.5,2.7,3.3,0.0,23.9,-72.8,6.8,-5.8,0.0,1.8,-11.9,1.3,0.0,0.0,-0.2,0.2,14.7,10.2,0.6,23.4,2.5,-2.4,1.4,
Total Sistema hasta diciembre 2023,60759.0,8314.0,0.0,8514.0,39281.0,40802.0,1328.0,-2848.0,50.0,833.0,132.0,815.0,2820.0,54052.0,46232.0,0.0,209.0,50.0,2424.0,3872.0,386.0,609.0,268.0,6706.0,4562.0,1.0,1064.0,2.0,301.0,776.0,39.0,738.0,0.0,60759.0,17554.0,78313.0
Guayaquil hasta diciembre 2023,7379.0,844.0,0.0,1114.0,4978.0,5051.0,142.0,-215.0,0.0,76.0,32.0,110.0,226.0,6622.0,5569.0,0.0,29.0,0.0,253.0,637.0,54.0,75.0,5.0,757.0,537.0,0.0,91.0,0.0,7.0,122.0,0.0,122.0,0.0,7379.0,2032.0,9412.0
Variación Banco Guayaquil Monto hasta diciembre 2023,492.0,-216.0,0.0,169.0,487.0,422.0,75.0,-10.0,0.0,9.0,9.0,0.0,34.0,416.0,207.0,0.0,-1.0,0.0,33.0,135.0,41.0,0.0,2.0,76.0,54.0,0.0,11.0,0.0,-1.0,12.0,0.0,12.0,0.0,492.0,138.0,630.0
Variación Banco Guayaquil % hasta diciembre 2023,7.1,-20.4,0.0,17.9,10.9,9.1,111.9,4.9,0.0,13.3,41.2,-0.3,17.7,6.7,3.9,0.0,-3.4,0.0,15.1,26.8,304.1,0.0,55.4,11.2,11.1,0.0,13.7,0.0,-9.3,11.0,48030880.0,10.9,0.0,7.1,7.3,7.2
Variación Total Sistema Monto hasta diciembre 2023,3873.0,-1186.0,0.0,1079.0,3341.0,3029.0,511.0,-198.0,32.0,76.0,26.0,-12.0,516.0,3216.0,2589.0,0.0,-12.0,32.0,268.0,244.0,63.0,0.0,31.0,657.0,451.0,0.0,115.0,0.0,22.0,68.0,-6.0,74.0,1.0,3873.0,993.0,4866.0
"Variación Total Sistema %
 hasta diciembre 2023",6.8,-12.5,0.0,14.5,9.3,8.0,62.6,7.5,183.1,10.1,25.0,-1.5,22.4,6.3,5.9,0.0,-5.4,183.1,12.5,6.7,19.5,-0.1,13.1,10.9,11.0,0.0,12.2,0.7,7.8,9.6,-12.4,11.1,-100.0,6.8,6.0,6.6
Total Sistema hasta septiembre 2022,54592.0,7530.0,0.0,7934.0,35085.0,36860.0,779.0,-2554.0,8.0,815.0,98.0,785.0,2336.0,48779.0,41813.0,0.0,299.0,8.0,2065.0,3506.0,259.0,537.0,293.0,5812.0,4107.0,1.0,949.0,2.0,228.0,526.0,42.0,484.0,54592.0,16129.0,70720.0,
